name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
syrk,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
gemm,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
3mm,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
doitgen,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
durbin,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
floyd-warshall,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
deriche,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
gramschmidt,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
nussinov,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
bicg,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
ludcmp,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
mvt,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
correlation,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
2mm,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
syr2k,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
gesummv,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
trisolv,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
heat-3d,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
trmm,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
jacobi-1d,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
seidel-2d,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
covariance,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
lu,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
fdtd-2d,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
adi,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
cholesky,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
atax,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
gemver,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
jacobi-2d,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,yes
symm,llvm21-affine-loop-inv-code-motion,affine-loop-inv-code-motion,llvm21,yes,N/A,no
